device_id,trip_id,date,start_time,end_time,start_terminal,end_terminal,travel_time,dwell_time
116,1,2022-10-01,08:41:39,09:35:36,BT02,BT01,53.95,5.916666666666667
116,2,2022-10-01,09:51:51,10:42:47,BT01,BT02,50.93333333333333,5.0
116,3,2022-10-01,13:42:11,14:30:32,BT02,BT01,48.35,5.8
116,4,2022-10-01,15:09:08,16:00:26,BT01,BT02,51.3,6.8500000000000005
116,5,2022-10-02,07:42:11,08:22:32,BT02,BT01,40.35,4.266666666666667
116,6,2022-10-02,09:11:04,10:05:16,BT01,BT02,54.2,6.85
116,7,2022-10-02,11:51:22,12:50:29,BT02,BT01,59.11666666666667,9.166666666666668
116,8,2022-10-02,14:33:27,15:27:59,BT01,BT02,54.53333333333333,4.5
116,9,2022-10-02,16:28:45,17:31:15,BT02,BT01,62.5,9.583333333333334
116,10,2022-10-02,20:19:05,21:05:57,BT01,BT02,46.86666666666667,8.15
116,11,2022-10-03,08:00:32,08:40:08,BT02,BT01,39.6,5.6
116,12,2022-10-03,09:31:54,10:15:40,BT01,BT02,43.766666666666666,2.3000000000000003
116,13,2022-10-03,12:46:41,13:35:53,BT02,BT01,49.2,5.75
116,14,2022-10-03,14:22:31,15:04:03,BT01,BT02,41.53333333333333,2.4833333333333334
116,15,2022-10-03,17:21:56,18:07:05,BT02,BT01,45.15,6.833333333333333
116,16,2022-10-03,19:53:05,21:03:32,BT01,BT02,70.45,37.150000000000006
116,17,2022-10-04,07:50:55,08:32:38,BT02,BT01,41.71666666666667,3.9333333333333336
116,18,2022-10-04,09:21:08,10:06:05,BT01,BT02,44.95,3.0
116,19,2022-10-04,12:21:34,13:05:03,BT02,BT01,43.483333333333334,4.783333333333334
116,20,2022-10-04,13:41:54,14:38:23,BT01,BT02,56.483333333333334,9.75
116,21,2022-10-04,16:42:40,17:25:22,BT02,BT01,42.7,3.0999999999999996
116,22,2022-10-04,18:24:46,19:07:24,BT01,BT02,42.63333333333333,3.65
116,23,2022-10-06,06:50:17,07:38:14,BT02,BT01,47.95,9.783333333333333
116,24,2022-10-06,08:21:04,09:01:59,BT01,BT02,40.916666666666664,2.95
116,25,2022-10-06,10:41:54,11:21:04,BT02,BT01,39.166666666666664,2.8166666666666664
116,26,2022-10-06,11:52:23,12:34:45,BT01,BT02,42.36666666666667,2.0
116,27,2022-10-06,13:51:07,14:34:32,BT02,BT01,43.416666666666664,6.233333333333333
116,28,2022-10-06,15:03:45,15:47:10,BT01,BT02,43.416666666666664,5.133333333333334
116,29,2022-10-06,17:11:16,17:50:12,BT02,BT01,38.93333333333333,2.0166666666666666
116,30,2022-10-06,18:26:03,19:08:39,BT01,BT02,42.6,6.3500000000000005
116,31,2022-10-07,06:41:28,07:30:43,BT02,BT01,49.25,7.6
116,32,2022-10-07,08:00:00,08:37:36,BT01,BT02,37.6,2.583333333333333
116,33,2022-10-07,10:31:45,11:09:41,BT02,BT01,37.93333333333333,4.55
116,34,2022-10-07,11:32:34,12:20:51,BT01,BT02,48.28333333333333,4.666666666666667
