id,deviceid,devicetime,latitude,longitude,speed
560111549,123,2021-10-01 05:04:31,7.3178633,80.7440166,1.07991
560112376,123,2021-10-01 05:06:48,7.3170666,80.7440983,2.69978
560112492,123,2021-10-01 05:06:51,7.3170999,80.7440716,5.39957
560112491,123,2021-10-01 05:07:06,7.3176183,80.7441016,6.47948
560112490,123,2021-10-01 05:07:11,7.3177266,80.7441233,0.0
560112560,123,2021-10-01 05:07:14,7.31776,80.7441266,3.23974
560112559,123,2021-10-01 05:07:16,7.3177766,80.7441283,2.69978
560112558,123,2021-10-01 05:07:19,7.3179116,80.74409,4.31966
560113194,123,2021-10-01 05:07:31,7.3182266,80.7444066,0.0
560113193,123,2021-10-01 05:09:13,7.31846,80.7446283,4.31966
560115578,123,2021-10-01 05:09:28,7.3187733,80.7449099,7.5594
560115577,123,2021-10-01 05:09:43,7.3191783,80.7456799,10.7991
560115576,123,2021-10-01 05:09:58,7.3196983,80.7455433,4.85961
560115575,123,2021-10-01 05:10:13,7.3202183,80.745375,11.8791
560115574,123,2021-10-01 05:10:28,7.3204683,80.7445883,12.959
560114649,123,2021-10-01 05:10:43,7.3202883,80.743745,14.0389
560114648,123,2021-10-01 05:10:58,7.3203916,80.7432333,4.85961
560114647,123,2021-10-01 05:11:13,7.3209716,80.7431466,8.09935
560114646,123,2021-10-01 05:11:28,7.3215283,80.7435133,10.2592
560114515,123,2021-10-01 05:11:43,7.321805,80.7431866,4.31966
560114514,123,2021-10-01 05:11:58,7.32219,80.742815,14.0389
560114513,123,2021-10-01 05:12:11,7.3234366,80.7419949,30.2376
560114512,123,2021-10-01 05:12:26,7.3252733,80.7420533,23.2182
560114511,123,2021-10-01 05:12:41,7.3265566,80.7429566,22.1382
560114510,123,2021-10-01 05:12:56,7.3279716,80.7436649,23.2182
560114645,123,2021-10-01 05:13:11,7.3283549,80.7452333,10.7991
560114644,123,2021-10-01 05:13:14,7.328365,80.74529,0.0
560115573,123,2021-10-01 05:16:01,7.3283116,80.7452966,4.31966
